title,timestamp,summary,link,source,scraped_at
Families of two police officers killed in crash say they were heroes,"Mon, 24 Aug 2026 07:18:06 GMT","PC Matthew Blades and PC Tom Clough died after a car, whose five occupants were also killed, collided with their vehicle.",https://www.bbc.co.uk/news/articles/c4gvgy3de37o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
How easy is it to find an NHS dentist? It depends where you live,"Sun, 23 Aug 2026 23:10:18 GMT","Nearly 600 practices in England have withdrawn from NHS dentistry over the last 10 years, as the service heads towards a two-tier system.",https://www.bbc.co.uk/news/articles/c9v4w77d9m8o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Nearly three million Teslas recalled in China over hidden door handles,"Mon, 24 Aug 2026 05:01:17 GMT","Other brands affected by the recall include Chinese carmakers XPeng, Xiaomi and Geely.",https://www.bbc.co.uk/news/articles/c4g6ggdg030o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"Divorce, smartphones and control - BBC sees how Taliban run Afghanistan","Mon, 24 Aug 2026 05:00:22 GMT","Five years after the Taliban’s return, the BBC follows senior figures as the group reshapes the country.",https://www.bbc.co.uk/news/articles/ckgvk9p2n7ko?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
'It's not Alton Towers' - rows break out over queuing at Wales' highest mountain,"Mon, 24 Aug 2026 05:15:25 GMT",There has been disagreement between queuers and others skipping the line to reach the top of Yr Wyddfa.,https://www.bbc.co.uk/news/articles/c1714xg2vr9o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Australian shark attack victim grateful for 'second chance at life',"Mon, 24 Aug 2026 05:31:53 GMT","Leah Stewart was mauled by a shark in June, suffering multiple bites to her arms and legs.",https://www.bbc.co.uk/news/articles/c87n792dnlno?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Pubs and hotels could see business rates reformed after review,"Mon, 24 Aug 2026 07:32:06 GMT",The review of how rates are calculated in England and Wales could lead to reform of the system.,https://www.bbc.co.uk/news/articles/c8xnxy89gv7o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Ex-cricket captains urge 'proper medical care' for Imran Khan,"Mon, 24 Aug 2026 03:55:35 GMT","The former skippers say it is ""basic decency"" for Pakistan to comply with a court-ordered medical assessment.",https://www.bbc.co.uk/news/articles/cx2z889l0dxo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Reform says it will prioritise young British-born workers for social housing,"Sun, 23 Aug 2026 21:07:47 GMT","Labour called the plan ""unserious and unworkable"" and accused Reform of pushing ""gimmicks and division"".",https://www.bbc.co.uk/news/articles/cvgjgyg1rngo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Maradona's 'Hand of God' ball sells for £2.5m,"Mon, 24 Aug 2026 06:55:06 GMT",The football with which Diego Maradona scored his famous 'hand of God' goal in the 1986 World Cup quarter-final victory over England is sold at auction.,https://www.bbc.co.uk/sport/football/articles/cqxvj8j7gy8o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Trump waves green flag to start IndyCar race through Washington streets,"Sun, 23 Aug 2026 20:19:36 GMT","The president took a ceremonial lap of the track before the race, which is the culmination of a summer of events to mark the country's 250th birthday.",https://www.bbc.co.uk/news/articles/c0qvq24vlj4o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Doctors said I was too young to have endometriosis at 13 - I had to take morphine to cope,"Sun, 23 Aug 2026 23:14:04 GMT","Grace, 14, feels doctors were dismissive of her pain. She wants others to know the symptoms.",https://www.bbc.co.uk/news/articles/ceqe8exvwwwo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"How to get £2,000 to play computer games at university","Sun, 23 Aug 2026 23:23:55 GMT",Roehampton University offers students a year;y scholarship to play esports alongside their studies.,https://www.bbc.co.uk/news/articles/cz647wlvg1do?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
'I didn't speak the Queen's English': Why people worry about their accents,"Sun, 23 Aug 2026 23:25:44 GMT","A survey on attitudes towards accents suggests that so-called ""accent bias"" is still an issue in many workplaces.",https://www.bbc.co.uk/news/articles/c05q318501yo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Rumours swirled after a Vietnamese teen was run over - then came a stunning admission,"Sun, 23 Aug 2026 22:05:49 GMT",Confirmation of the circumstances around Do Ngoc Phuong Thuy's death have only spurred more questions.,https://www.bbc.co.uk/news/articles/c3ekgzwex05o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
The Papers: 'Pain beyond words' and 'Graduates face worst job market',"Mon, 24 Aug 2026 04:17:48 GMT",Photographs of the two police officers killed in a crash on Saturday morning lead several front pages on Monday.,https://www.bbc.co.uk/news/articles/cgr7reynpdyo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Shein aims for almost $27bn valuation in stock market debut,"Mon, 24 Aug 2026 07:00:53 GMT",The fast-fashion giant's shares are due to start trading in Hong Kong on 1 September.,https://www.bbc.co.uk/news/articles/cdeweewjdxno?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Rain to return this week with chance of thunderstorms and flooding,"Mon, 24 Aug 2026 00:05:28 GMT",Some much-needed rainfall is forecast through the coming week and will be welcome for places that have seen exceptionally dry and hot weather for much of the summer.,https://www.bbc.co.uk/weather/articles/czxex6xg75ro?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
China probes use of formaldehyde to keep cabbages fresh,"Mon, 24 Aug 2026 05:40:48 GMT","Using the carcinogen to preserve food is prohibited in China, the world's largest producer of cabbages.",https://www.bbc.co.uk/news/articles/cy9ze48l2yeo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
